Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.unions,4430364,422756,29984,41,6291456
All.union,4422512,428706,29928,43,6291456
All.difference,4245941,424448,21184,17,6291456
All.symmetricDifference,4582885,444100,19904,13,6291456
All.intersection,4628063,412738,20624,14,6291456
All.disjoint:false,326755,27478,1664,0,6291456
All.disjoint:true,4729837,413516,14464,3,6291456
All.isSubsetOf:false,57067,3200,504,0,6291456
All.isSubsetOf:true,2109074,208942,11504,2,6291456
All.null.intersection:false,4628713,449000,20624,14,6291456
All.null.intersection:true,3918592,227488,18824,3,6291456
